id;customer_id;rating;comment
1;5;9;Excellent service, very helpful staff!
2;12;7;Good service, but could be faster.
3;3;10;Absolutely fantastic experience!
4;25;8;Satisfied overall, would recommend.
5;19;6;Service was okay, nothing special.
6;34;10;Outstanding service, very impressed!
7;2;5;Disappointed, had a few issues.
8;17;9;Very pleased with the customer support.
9;8;8;Good service, happy with my experience.
10;50;10;Best service I've ever received!
11;29;6;Just average, could be better.
12;1;7;Satisfactory service, nothing exceptional.
13;35;10;Incredible service, will come back!
14;24;9;Very helpful and friendly staff!
15;43;5;Not great, had several problems.
16;10;8;Good overall experience, would recommend.
17;11;6;Average service, expected more.
18;36;10;Highly recommend, very satisfied!
19;4;7;Decent service, but a bit slow.
20;20;9;Really impressed with the attention given!
21;14;8;Good service, met my expectations.
22;26;5;Not worth the hassle.
23;15;10;Fantastic experience, very helpful!
24;30;9;Very reliable and efficient service.
25;9;6;Service was just okay, nothing outstanding.
26;33;8;Happy with the service overall.
27;28;10;Service exceeded my expectations!
28;42;7;Good, but could use some improvement.
29;13;9;Very good service, highly recommend!
30;22;5;Disappointing experience overall.
